"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_29}.jpg","nok","0.57","166.95"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_1}.jpg","nok","1.4","878.64"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_2}.jpg","nok","0.86","168.22"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_3}.jpg","nok","0.66","173.67"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_4}.jpg","nok","0.76","179.18"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_5}.jpg","nok","1.11","182.95"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_6}.jpg","nok","0.59","182.55"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_7}.jpg","nok","0.66","181.95"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_8}.jpg","nok","0.65","198.82"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_9}.jpg","nok","0.67","187.12"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_10}.jpg","nok","0.56","172.62"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_11}.jpg","nok","0.73","173.72"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_12}.jpg","nok","0.76","175.12"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_13}.jpg","nok","0.61","171.93"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_14}.jpg","nok","0.7","173.57"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_15}.jpg","nok","0.7","179.11"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_16}.jpg","nok","0.99","171.81"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_17}.jpg","nok","0.96","183.21"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_18}.jpg","nok","0.69","173.41"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_19}.jpg","nok","0.84","177.05"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_20}.jpg","nok","0.77","171.84"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_21}.jpg","nok","0.77","156.65"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_22}.jpg","nok","1.21","219.72"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_23}.jpg","nok","1.21","187.56"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_24}.jpg","nok","0.73","217.14"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_25}.jpg","nok","0.84","191.47"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_26}.jpg","nok","1.14","145.94"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_27}.jpg","nok","0.9","147.63"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_28}.jpg","nok","0.87","171.62"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_29}.jpg","nok","0.57","166.95"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_1}.jpg","nok","1.37","221.58"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_2}.jpg","nok","0.86","192.75"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_3}.jpg","nok","0.64","206.61"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_4}.jpg","nok","0.79","182.5"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_5}.jpg","nok","1.06","183.4"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_6}.jpg","nok","0.63","193.64"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_7}.jpg","nok","0.65","177.92"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_8}.jpg","nok","0.59","195.76"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_9}.jpg","nok","0.71","179.13"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_10}.jpg","nok","0.58","167.21"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_11}.jpg","nok","0.65","165.63"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_12}.jpg","nok","0.78","177.42"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_13}.jpg","nok","0.66","197.99"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_14}.jpg","nok","0.61","206.6"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_15}.jpg","nok","0.74","203"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_16}.jpg","nok","0.82","206.52"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_17}.jpg","nok","0.88","188.78"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_18}.jpg","nok","0.66","201.83"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_19}.jpg","nok","0.82","207.59"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_20}.jpg","nok","0.79","256.2"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_21}.jpg","nok","0.77","209.12"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{1_1-1_22}.jpg","nok","1.14","261.61"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_23}.jpg","nok","1.13","183.35"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_24}.jpg","nok","0.79","174.42"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_25}.jpg","nok","0.87","179.3"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_26}.jpg","nok","1.05","185.17"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_27}.jpg","nok","1.19","182.53"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_28}.jpg","nok","0.76","275.27"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\222222222\222222222-1-{2_1-1_29}.jpg","nok","0.59","179.71"
