"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_29}.jpg","nok","18.88","223.24"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_1}.jpg","nok","18.63","3226.22"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_2}.jpg","nok","34.76","228.84"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_3}.jpg","nok","26.15","240.59"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_4}.jpg","nok","38.55","211.41"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_5}.jpg","nok","51.48","236.01"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_6}.jpg","nok","34.83","177.57"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_7}.jpg","nok","27.92","247.65"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_8}.jpg","nok","28.11","236.7"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_9}.jpg","nok","25.19","225.84"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_10}.jpg","nok","29.41","247.67"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_11}.jpg","nok","34.57","231.09"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_12}.jpg","nok","37.53","229.83"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_13}.jpg","nok","25.57","224.24"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_14}.jpg","nok","31.18","225.24"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_15}.jpg","nok","34.85","226.86"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_16}.jpg","nok","29.82","226.88"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_17}.jpg","nok","35.15","239.26"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_18}.jpg","nok","28.96","239.8"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_19}.jpg","nok","32.53","193.91"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_20}.jpg","nok","40.43","237.46"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_21}.jpg","nok","42.73","221.17"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_22}.jpg","nok","51.64","225.21"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_23}.jpg","nok","44.85","241.98"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_24}.jpg","nok","42.21","228.09"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_25}.jpg","nok","42.45","220.72"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_26}.jpg","nok","65.3","150.59"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_27}.jpg","nok","48.68","198.66"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_28}.jpg","nok","27.25","242.02"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_29}.jpg","nok","18.88","223.24"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_1}.jpg","nok","0.69","886.38"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_2}.jpg","nok","0.87","167.94"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_3}.jpg","nok","0.71","180.13"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_4}.jpg","nok","0.75","166.65"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_5}.jpg","nok","1.11","163.03"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_6}.jpg","nok","0.61","259.21"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_7}.jpg","nok","0.66","208.94"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_8}.jpg","nok","0.65","162.85"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_9}.jpg","nok","0.68","182.09"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_10}.jpg","nok","0.56","171.15"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_11}.jpg","nok","0.73","175.2"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_12}.jpg","nok","0.75","167.48"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_13}.jpg","nok","0.6","173.95"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_14}.jpg","nok","0.71","177.03"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_15}.jpg","nok","0.69","168.58"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_16}.jpg","nok","1.07","177.01"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_17}.jpg","nok","0.91","176.3"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_18}.jpg","nok","0.71","179.01"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_19}.jpg","nok","0.84","180.94"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_20}.jpg","nok","0.79","203.47"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_21}.jpg","nok","0.77","169.24"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{1_1-1_22}.jpg","nok","1.22","165.84"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_23}.jpg","nok","1.23","172.46"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_24}.jpg","nok","0.74","168.82"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_25}.jpg","nok","0.83","170.92"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_26}.jpg","nok","1.13","196.22"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_27}.jpg","nok","0.88","176.35"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_28}.jpg","nok","0.9","178.45"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241107\111111111\111111111-1-{2_1-1_29}.jpg","nok","0.57","171.76"
